Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type,Release Year,Source
Advocare Slim,8.0,0.0,120.0,15.0,Energy Drink,,
Alani Nu Energy Drink,12.0,10.0,200.0,16.7,Energy Drink,2018.0,https://www.reuters.com/markets/deals/energy-drink-maker-alani-nu-explores-options-including-sale-2023-07-18/
ALL IN Energy Drink,12.0,25.0,75.0,6.2,Energy Drink,2016.0,https://www.drinkallin.com/pages/about-us
Alsa Energy Drink Mix,16.0,30.0,100.0,6.2,Energy Drink,,
AMIN.O. Energy Drink,12.0,5.0,100.0,8.3,Energy Drink,,
Amino Force Energy Drink,22.0,0.0,200.0,9.1,Energy Drink,2016.0,https://dsld.od.nih.gov/label/56411
Arbonne Energy Fizz Stck,8.0,15.0,55.0,6.9,Energy Drink,,
Arizona Arnold Palmer Half and Half,16.9,180.0,15.0,0.9,Energy Drink,2001.0,https://www.arnoldpalmer.com/beverages
Arizona Energy Drink Rx,11.5,130.0,127.0,11.0,Energy Drink,2001.0,https://caffeinepark.com/arizona-energy-drink-rx-caffeine-494/
AXIO Energy Drink Mix,12.0,0.0,100.0,8.3,Energy Drink,,
Bai Antioxidant Infusion,18.0,10.0,55.0,3.1,Energy Drink,2009.0,https://www.bevnet.com/news/2011/waking-up-to-coffee-fruit/
Bai Boost,11.47,10.0,110.0,9.6,Energy Drink,2021.0,https://www.beverage-digest.com/articles/422-dr-pepper-zero-sugar-bai-boost-extensions-to-launch-in-march?v=preview
Bang Energy,16.0,0.0,300.0,18.8,Energy Drink,2012.0,https://www.bevnet.com/news/2017/the-bang-revolution/
Bang Keto Coffee,16.0,130.0,300.0,18.8,Energy Drink,2019.0,https://www.schottdistributing.com/2018/11/30/new-bang-keto-coffee-now-available/
Bang Natural,16.0,0.0,250.0,15.6,Energy Drink,2019.0,https://thesuppplug.blogspot.com/2019/11/bang-energy-rolls-out-all-new-natural.html
Bang Sweet Tea,16.0,0.0,300.0,18.8,Energy Drink,2018.0,https://markets.businessinsider.com/news/stocks/bang-shocks-beverage-world-with-triple-threat-tea-se-launch-1023013012
BE Beyond Energy Drink,12.0,15.0,160.0,13.3,Energy Drink,2014.0,https://pitchbook.com/profiles/company/520469-02#overview
Beaver Buzz Energy Drink,16.0,240.0,178.0,11.1,Energy Drink,2005.0,https://www.businesswire.com/news/home/20150602005504/en/Canadian-Underdog-Celebrates-Ten-Dam-Good-Years
BEEBAD Energy Drink,8.46,110.0,80.0,9.5,Energy Drink,2017.0,"https://www.specialtyfood.com/news/article/beebad-a-revolutionary-honey-powered-energy-drink-to-debut-at-the-2017-summer-fancy-food-show-booth-4500-june-25-27-2017-124494/#:~:text=06%2F22%2F2017-,BEEBAD%2C%20A%20REVOLUTIONARY%20HONEY%2DPOWERED%20ENERGY%20DRINK%2C%20TO%20DEBUT,%2C%20June%2025%2D27%2C%202017&text=Healthy%2C%20great%2Dtasting%20beverage%20has%20people%20buzzing."
Berocca,8.0,5.0,90.0,11.2,Energy Drink,,
Berzerk Energy Drink Mix,16.0,5.0,200.0,12.5,Energy Drink,,
Best Choice Strawberry Energy Drink Mix,8.0,5.0,120.0,15.0,Energy Drink,,
Bing Energy Drink,12.0,30.0,120.0,10.0,Energy Drink,2006.0,https://bingbeverage.com/
Black Bruin Energy Drink,8.46,122.0,38.0,4.4,Energy Drink,1997.0,https://www.facebook.com/blackbruintr/about_details
Blu Frog Energy Drink,8.46,90.0,80.0,9.5,Energy Drink,2008.0,https://blufrog.wordpress.com/
Blue Bolt (UK),8.46,112.0,80.0,9.5,Energy Drink,,
